,latitude,longitude
596,45.0,-124.375
597,31.5,-121.25
598,37.0,-110.625
599,45.5,-122.5
600,34.0,-124.375
601,35.5,-117.5
602,44.5,-106.875
603,39.5,-111.25
604,32.0,-106.25
605,35.0,-116.875
606,44.5,-117.5
607,35.5,-111.875
608,39.0,-111.25
609,32.0,-111.875
610,31.5,-109.375
611,48.5,-119.375
612,44.5,-113.75
613,43.5,-121.875
614,37.0,-109.375
615,31.5,-122.5
616,36.0,-114.375
617,36.5,-118.125
618,47.0,-123.125
619,35.5,-114.375
620,45.0,-123.125
621,42.5,-113.125
622,37.0,-120.0
623,43.0,-121.875
624,38.5,-112.5
625,40.5,-117.5
626,39.0,-107.5
627,48.5,-109.375
628,33.0,-112.5
629,40.0,-115.625
630,38.5,-124.375
631,32.0,-118.75
632,,
633,,
634,,
635,46.0,-110.0
636,38.0,-118.125
637,33.0,-106.25
638,,
639,44.5,-116.25
640,42.5,-118.75
641,36.5,-108.125
642,37.0,-115.0
643,34.5,-108.75
644,38.5,-114.375
645,46.0,-119.375
646,34.0,-115.0
647,,
648,,
649,38.5,-107.5
650,41.0,-122.5
651,37.0,-114.375
652,49.5,-106.25
653,31.5,-123.75
654,38.0,-114.375
655,42.5,-120.625
656,,
657,34.5,-112.5
658,32.0,-110.0
659,,
660,39.0,-117.5
661,39.0,-125.0
662,47.0,-116.875
663,31.5,-110.0
664,,
665,49.5,-122.5
666,,
667,39.5,-111.875
668,49.5,-118.75
669,37.5,-115.0
670,38.0,-124.375
671,41.5,-116.25
672,39.5,-106.25
673,,
674,39.5,-108.125
675,43.5,-125.0
676,38.5,-115.0
677,40.5,-107.5
678,33.0,-116.25
679,43.5,-113.75
680,43.5,-116.25
681,34.5,-117.5
682,39.5,-117.5
683,38.5,-111.25
684,31.5,-108.75
685,46.0,-114.375
686,38.0,-115.0
687,,
688,40.0,-115.0
689,34.5,-110.0
690,44.0,-111.875
691,33.5,-108.75
692,46.0,-123.75
693,,
694,42.5,-112.5
695,33.0,-111.25
696,40.0,-121.25
697,32.0,-124.375
698,39.5,-125.0
699,31.5,-118.75
700,40.5,-115.0
701,44.5,-114.375
702,37.0,-119.375
703,,
704,,
705,37.0,-120.625
706,34.5,-111.875
707,46.0,-123.125
708,42.5,-111.875
709,38.0,-107.5
710,32.0,-119.375
711,39.5,-115.0
712,33.5,-112.5
713,44.0,-120.0
714,33.0,-121.875
715,37.0,-123.125
716,33.0,-115.0
717,44.0,-114.375
718,36.0,-107.5
719,42.0,-118.125
720,40.0,-111.875
721,47.0,-118.125
722,39.0,-123.125
723,35.0,-117.5
724,35.5,-113.75
725,49.5,-114.375
726,35.5,-125.0
727,33.0,-120.625
728,46.0,-111.25
729,49.5,-106.875
730,37.0,-122.5
731,42.5,-109.375
732,46.0,-120.0
733,,
734,44.0,-110.625
735,40.5,-119.375
736,48.5,-113.125
737,40.5,-120.625
