,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
842,1.5,1.5,1.5,39.899444,-104.675338,1.0
843,51.8,51.8,51.8,35.78222,-114.975375,1.0
844,41.8,41.8,41.8,35.78222,-114.975375,1.0
845,4.4,4.4,4.4,34.9843,-114.5565,1.0
846,10.0,10.0,10,34.9843,-114.5565,1.0
847,79.0,79.0,79,36.408,-114.908,1.0
848,155.0,155.0,155,35.250031,-117.976847,1.0
849,2.0,2.0,2,38.7745,-104.7458,1.0
850,1.2,1.2,1.2,39.7876,-104.5859,1.0
851,1.2,1.2,1.2,39.7867,-104.5877,1.0
852,20.0,20.0,20,34.819,-118.432,1.0
853,13.0,13.0,13,38.55,-121.75,1.0
854,20.0,20.0,20,36.15042,-119.58542,1.0
855,20.0,20.0,20,36.876847,-120.667608,1.0
856,1.0,1.0,1,34.03527,-117.5341,1.0
857,15.0,15.0,15,36.206672,-115.047703,1.0
858,3.0,3.0,3,37.731338,-113.216634,1.0
859,205.3,200.0,200,36.581365,-120.40447,1.0
860,60.0,60.0,46,36.581182,-120.37957,1.0
861,20.0,20.0,15,36.581182,-120.37957,1.0
862,20.0,20.0,15,36.581182,-120.37957,1.0
863,205.3,200.0,150,36.581182,-120.37957,1.0
864,80.0,80.0,80,37.7212,-113.1516,1.0
865,1.5,1.5,1.5,34.6608,-118.0836,1.0
866,50.4,50.4,50.4,37.7989,-113.322,1.0
867,80.0,80.0,80,37.77509,-113.226403,1.0
868,1.4,1.4,1.4,35.317551,-118.989894,1.0
869,3.0,3.0,3,38.388243,-112.990812,1.0
870,20.0,19.0,19,34.73206,-118.313573,1.0
871,20.0,18.0,17,34.719538,-118.31301,1.0
872,20.0,17.0,16,34.720499,-118.30046,1.0
873,40.0,39.0,37,34.730263,-118.30425,1.0
874,100.0,100.0,100,34.844226,-118.458466,1.0
875,75.0,75.0,75,34.836649,-118.480204,1.0
876,1.5,1.5,1.5,39.69898,-122.175583,1.0
877,19.2,19.2,19.2,38.019671,-121.86506,1.0
878,15.0,15.0,15,35.731362,-119.818712,1.0
879,52.0,52.0,52,37.691863,-105.990812,1.0
880,20.0,20.0,20,43.213,-116.439,1.0
881,20.0,20.0,20,43.467,-116.285,1.0
882,20.0,20.0,20,42.824,-112.752,1.0
883,20.0,20.0,20,42.824,-112.752,1.0
884,13.0,13.0,13,40.081444,-104.746661,1.0
885,3.0,3.0,3,34.600231,-117.94751,1.0
886,20.0,19.0,19,37.120586,-120.32488,1.0
887,1.0,1.0,1,34.097728,-117.544529,1.0
888,130.0,130.0,130,35.615573,-120.404352,1.0
889,7.3,7.3,7.3,33.97819,-117.38514,1.0
890,20.0,20.0,18,37.379919,-121.130661,1.0
891,40.0,40.0,40,34.901,-119.596,1.0
892,2.3,2.3,2.3,45.068,-123.47,1.0
893,2.1,1.7,1.7,32.729238,-117.207718,1.0
894,0.6,0.5,0.5,32.729238,-117.207718,1.0
895,0.5,0.5,0.5,32.729238,-117.207718,1.0
896,16.0,16.0,15,32.000854,-110.958427,1.0
897,60.0,60.0,50,42.989614,-116.093431,1.0
898,20.0,20.0,18,42.989614,-116.093431,1.0
899,15.8,15.8,15.8,35.996324,-120.15146,1.0
900,20.0,20.0,20,35.856278,-119.068414,1.0
901,20.0,20.0,20,35.844167,-119.068069,1.0
902,15.0,15.0,15,35.845378,-119.056992,1.0
903,20.0,20.0,20,35.850403,-119.026992,1.0
904,1.5,1.5,1.5,36.616846,-120.105144,1.0
905,1.5,1.5,1.5,36.616846,-120.105144,1.0
906,3.7,3.7,3.7,34.748894,-117.973571,1.0
907,3.0,3.0,3,34.66072,-118.081152,1.0
908,20.0,20.0,20,34.824206,-118.438547,1.0
909,33.2,33.2,33.2,33.68,-114.73,1.0
910,33.9,33.9,33.9,33.68,-114.73,1.0
911,32.0,32.0,32,33.68,-114.73,1.0
912,32.1,32.1,32.1,33.68,-114.73,1.0
913,38.7,38.7,38.7,33.68,-114.742,1.0
914,36.3,36.3,36.3,33.68,-114.742,1.0
915,34.8,34.8,34.8,33.68,-114.742,1.0
916,1.4,1.4,1.4,45.528457,-122.66317,1.0
917,1.5,1.5,1.5,36.257938,-119.798139,1.0
918,1.3,1.3,1.3,33.914356,-118.050189,1.0
919,1.2,1.2,1.2,33.912917,-118.050561,1.0
920,1.0,1.0,1,33.912917,-118.041944,1.0
921,2.0,2.0,2,34.030119,-117.517753,1.0
922,2.0,2.0,2,33.892614,-118.037564,1.0
923,85.0,81.0,78,34.655694,-118.298166,1.0
924,50.0,48.0,46,34.655556,-118.280722,1.0
925,5.0,5.0,5,34.686944,-118.311722,1.0
926,3.3,3.3,3.3,37.691,-121.717,1.0
927,10.0,9.9,9.9,34.986073,-106.736129,1.0
928,9.5,9.3,9.3,35.587795,-106.060859,1.0
929,10.5,10.5,10.5,35.029719,-106.855498,1.0
930,10.0,9.9,9.9,34.582598,-106.682975,1.0
931,1.0,1.0,0.6,38.643527,-121.505506,1.0
932,10.8,10.8,10.8,38.339857,-121.114494,1.0
933,4.5,4.5,4.5,33.211095,-117.299593,1.0
934,185.0,185.0,185,34.825267,-118.524989,1.0
935,30.0,30.0,30,33.162056,-115.531694,1.0
936,10.0,10.0,10,35.126111,-119.243361,1.0
937,4.0,4.0,4,40.418786,-104.891944,1.0
938,4.0,4.0,4,40.577889,-104.894792,1.0
939,2.0,2.0,2,34.108618,-117.782246,1.0
940,1.0,1.0,1,34.108618,-117.782246,1.0
941,28.1,28.1,28.1,32.572022,-107.486458,1.0
942,100.0,100.0,100,36.408,-114.908,1.0
943,2.0,2.0,2,36.219,-119.907,1.0
944,1.5,1.5,1.5,35.211044,-119.387258,1.0
945,20.0,19.0,19,34.694839,-118.28769,1.0
946,20.0,19.0,19,34.714703,-118.311006,1.0
947,3.0,3.0,3,34.705549,-118.301417,1.0
948,7.8,7.8,7.8,40.23,-105.03,1.0
949,30.0,30.0,30,32.13597,-110.05129,1.0
950,3.0,3.0,3,31.813061,-106.218892,1.0
951,5.0,5.0,5,32.921261,-106.072411,1.0
952,30.0,30.0,30,37.372,-104.843,1.0
953,100.0,100.0,100,33.332777,-112.911388,1.0
954,150.0,150.0,150,33.347583,-112.936805,1.0
955,20.0,20.0,20,34.71647,-118.2821,1.0
956,11.4,11.4,11.4,34.71412,-118.2739,1.0
957,20.0,20.0,20,33.154761,-115.544918,1.0
958,1.2,1.2,1.2,39.859564,-105.149694,1.0
959,6.0,6.0,6,43.936687,-117.381214,1.0
960,9.0,9.0,9,44.151256,-117.000071,1.0
961,10.0,10.0,10,43.796766,-117.065311,1.0
962,4.5,4.5,4.5,43.998019,-117.10118,1.0
963,10.0,10.0,10,43.93097,-116.987626,1.0
964,10.0,10.0,10,43.965031,-117.25806,1.0
965,50.0,50.0,50,33.176627,-115.572788,1.0
966,1.0,1.0,1,33.1526,-107.249831,1.0
