,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
257,3.0,3.0,3.0,44.396944,-117.271944,1.0
258,150.0,150.0,150.0,35.030855,-118.293188,1.0
259,168.0,168.0,168.0,35.043411,-118.211835,1.0
260,150.0,150.0,150.0,35.026683,-118.234811,1.0
261,132.0,132.0,132.0,35.026759,-118.223333,1.0
262,57.6,57.6,57.6,43.386389,-111.726389,1.0
263,143.0,143.0,143.0,32.663889,-116.289722,1.0
264,50.4,50.4,50.4,32.55434,-107.50929,1.0
265,102.0,102.0,102.0,35.008333,-118.241389,1.0
266,10.0,10.0,10.0,46.275278,-109.482778,1.0
267,10.0,10.0,10.0,46.275278,-109.482778,1.0
268,29.0,29.0,29.0,37.801111,-104.491944,1.0
269,189.0,184.6,184.6,48.820278,-112.103333,1.0
270,40.0,39.9,39.9,42.88,-115.036667,1.0
271,298.0,298.0,298.0,34.651111,-105.461667,1.0
272,1.6,1.6,1.6,34.561944,-117.307222,1.0
273,1.6,1.6,1.6,34.561944,-117.307222,1.0
274,1.5,1.5,1.5,34.623056,-117.1125,1.0
275,1.5,1.5,1.5,34.623056,-117.1125,1.0
276,1.0,1.0,1.0,38.42,-121.818056,1.0
277,1.0,1.0,1.0,40.111111,-122.193889,1.0
278,119.7,115.8,115.8,43.524429,-111.803921,1.0
279,1.0,1.0,1.0,38.692778,-121.9325,1.0
280,1.0,1.0,1.0,33.917222,-116.815,1.0
281,1.0,1.0,1.0,33.917222,-116.815,1.0
282,1.6,1.6,1.6,33.914167,-116.749167,1.0
283,1.6,1.6,1.6,33.914167,-116.749167,1.0
284,1.9,1.9,1.9,33.914167,-116.749167,1.0
285,200.0,200.0,200.0,39.380975,-103.573236,1.0
286,200.0,200.0,200.0,39.341389,-103.581111,1.0
287,162.0,162.0,162.0,35.347778,-118.186389,1.0
288,99.2,99.2,99.2,35.415556,-112.271111,1.0
289,40.0,40.0,40.0,47.333333,-110.639167,1.0
290,6.0,6.0,6.0,33.908889,-116.555556,1.0
291,98.9,98.9,98.9,45.899167,-118.591389,1.0
292,138.0,138.0,138.0,35.06,-118.2,1.0
293,90.0,90.0,90.0,35.065,-118.39,1.0
294,4.3,4.3,4.3,47.139167,-120.753056,1.0
295,2.0,2.0,2.0,37.772222,-104.832222,1.0
296,2.0,2.0,2.0,37.772222,-104.832222,1.0
297,2.0,2.0,2.0,37.772222,-104.832222,1.0
298,2.0,2.0,2.0,37.772222,-104.832222,1.0
299,266.8,266.8,266.8,46.421111,-118.026944,1.0
300,34.0,34.0,34.0,40.964167,-103.077222,1.0
301,28.6,28.6,28.6,40.964167,-103.077222,1.0
302,30.0,30.0,30.0,32.286111,-110.088056,1.0
303,10.0,10.0,10.0,47.723333,-111.965278,1.0
304,9.7,9.7,9.7,46.449444,-110.087222,1.0
305,10.0,10.0,10.0,45.88,-118.463333,1.0
306,200.6,200.6,200.6,39.353333,-103.474167,1.0
307,19.8,19.8,19.8,35.088889,-118.206389,1.0
308,99.0,99.0,99.0,35.060556,-118.243333,1.0
309,1.0,1.0,1.0,32.702107,-116.354587,1.0
310,1.0,1.0,1.0,36.421111,-121.340278,1.0
311,1.0,1.0,1.0,36.505,-121.451667,1.0
312,1.6,1.6,1.6,38.233611,-122.0925,1.0
313,10.0,10.0,10.0,44.425,-117.273889,1.0
314,10.0,10.0,10.0,44.366944,-117.343889,1.0
315,10.0,10.0,10.0,44.353056,-117.323056,1.0
316,10.0,10.0,10.0,44.418056,-117.255,1.0
317,10.0,10.0,10.0,44.381944,-117.273056,1.0
318,1.7,1.7,1.7,40.50303,-112.37059,1.0
319,62.1,62.1,62.1,37.886706,-109.36839,1.0
320,250.0,250.0,250.0,38.935,-104.212,1.0
321,150.0,150.0,150.0,39.334,-102.173,1.0
322,85.9,85.9,85.9,37.713311,-121.640353,1.0
323,60.8,60.8,60.8,37.710444,-104.505464,1.0
324,181.7,181.7,181.7,34.734179,-103.108047,1.0
325,142.6,142.6,142.6,34.727007,-103.166771,1.0
326,80.0,80.0,80.0,42.728198,-105.866765,1.0
327,16.1,16.1,16.1,33.931,-116.6302,1.0
328,25.0,25.0,25.0,47.723,-111.963,1.0
329,600.0,600.0,600.0,39.172111,-103.845358,1.0
330,75.0,75.0,75.0,37.773,-102.546,1.0
331,1.9,1.9,1.9,34.691,-118.221,1.0
332,1.9,1.9,1.9,36.274508,-121.191589,1.0
333,25.0,25.0,25.0,45.855428,-109.649167,1.0
334,46.0,46.0,46.0,37.769189,-121.630163,1.0
335,1.8,1.8,1.8,36.464,-121.382,1.0
336,1.8,1.8,1.8,36.474,-121.371,1.0
337,128.7,128.7,128.7,35.073377,-118.268616,1.0
338,43.2,43.2,43.2,35.060768,-118.264734,1.0
339,21.6,21.6,21.6,35.077872,-118.2497,1.0
340,80.0,80.0,80.0,45.86584,-109.476647,1.0
341,50.9,50.9,50.9,34.604989,-103.966089,1.0
